state,disaster_type,total_historical,test_zeros,baseline_mae,baseline_rmse,negbin_mae,negbin_rmse,prophet_mae,prophet_rmse,best_model,best_mae
KY,Severe Storm,1355,0,11.091,26.027,11.288,26.368,11.068,26.139,prophet,11.068
MO,Severe Storm,1342,0,4.931,14.236,5.534,13.993,5.118,13.596,baseline,4.931
KS,Severe Storm,1024,0,5.673,9.334,5.681,9.443,5.623,9.37,prophet,5.623
OK,Severe Storm,888,1,1.702,2.717,1.443,2.318,1.825,2.776,negbin,1.443
TN,Severe Storm,875,0,3.072,7.633,3.162,7.514,2.864,7.236,prophet,2.864
FL,Hurricane,856,1,3.81,7.624,4.53,9.397,4.885,6.945,baseline,3.81
LA,Hurricane,803,1,2.509,4.973,3.271,6.525,2.437,4.494,prophet,2.437
TX,Severe Storm,756,1,0.924,1.64,0.613,1.112,0.304,0.714,prophet,0.304
NE,Severe Storm,750,0,2.528,4.317,2.577,4.371,2.854,4.853,baseline,2.528
IA,Severe Storm,743,1,1.84,3.184,1.655,2.864,2.015,4.184,negbin,1.655
IA,Flood,722,1,1.067,1.952,1.517,2.71,0.964,1.229,prophet,0.964
MS,Severe Storm,693,0,2.779,5.471,2.974,5.602,2.81,5.434,baseline,2.779
IN,Severe Storm,667,1,0.0,0.0,0.1,0.147,0.886,2.012,baseline,0.0
MN,Flood,665,1,1.5,3.319,4.573,12.236,1.547,2.484,baseline,1.5
AR,Severe Storm,660,0,1.357,2.484,1.224,2.479,1.185,2.408,prophet,1.185
ND,Flood,613,1,0.863,1.549,1.231,2.259,0.842,1.378,prophet,0.842
TX,Flood,610,0,3.821,7.426,4.811,8.522,3.745,6.889,prophet,3.745
TX,Hurricane,558,1,0.698,1.625,1.992,4.794,1.41,3.746,baseline,0.698
NC,Hurricane,551,1,1.161,2.62,2.463,5.983,1.204,2.583,baseline,1.161
AL,Severe Storm,547,1,0.847,1.24,0.837,1.243,1.036,1.594,negbin,0.837
KY,Flood,490,1,1.947,4.195,10.715,21.477,2.017,2.641,baseline,1.947
OH,Severe Storm,478,1,0.0,0.0,0.012,0.017,0.332,0.847,baseline,0.0
VA,Severe Storm,470,1,0.0,0.0,0.351,0.546,0.669,1.345,baseline,0.0
ND,Severe Storm,466,0,2.369,5.648,2.452,5.587,2.566,5.495,baseline,2.369
SD,Severe Storm,452,1,0.852,1.085,0.744,0.953,0.879,1.208,negbin,0.744
SD,Flood,438,1,1.214,3.009,4.294,12.467,1.327,1.938,baseline,1.214
MN,Severe Storm,433,1,0.516,0.802,0.436,0.698,0.605,1.033,negbin,0.436
WV,Severe Storm,433,1,0.174,0.235,0.439,0.575,0.548,1.007,baseline,0.174
GA,Severe Storm,422,1,0.145,0.239,0.269,0.427,0.413,0.92,baseline,0.145
MS,Hurricane,420,1,0.677,1.662,0.449,1.203,1.069,3.039,negbin,0.449
MO,Flood,415,1,0.853,1.576,1.085,1.952,0.374,0.775,prophet,0.374
CA,Severe Storm,375,1,1.029,1.997,0.822,1.54,1.022,1.426,negbin,0.822
CA,Flood,357,1,1.026,2.154,2.497,5.15,0.891,1.203,prophet,0.891
NY,Severe Storm,349,1,0.0,0.0,0.203,0.257,0.355,1.141,baseline,0.0
NE,Flood,345,1,0.81,2.499,1.172,3.519,0.734,1.161,prophet,0.734
IL,Flood,323,1,0.481,1.131,1.279,3.367,0.473,0.865,prophet,0.473
LA,Flood,310,1,0.684,1.207,1.605,2.821,0.38,0.76,prophet,0.38
PA,Flood,304,1,0.115,0.359,0.125,0.389,0.063,0.175,prophet,0.063
WV,Flood,304,0,0.349,0.702,0.398,0.856,0.364,0.539,baseline,0.349
IL,Severe Storm,297,1,0.245,0.359,0.204,0.324,0.301,0.545,negbin,0.204
AR,Flood,292,0,3.592,11.847,4.058,11.994,3.547,11.788,prophet,3.547
WI,Severe Storm,281,1,0.0,0.0,0.071,0.124,0.388,1.021,baseline,0.0
VA,Flood,278,1,0.011,0.037,0.031,0.108,0.011,0.016,baseline,0.011
FL,Severe Storm,272,1,0.169,0.264,0.216,0.332,0.391,0.792,baseline,0.169
WA,Flood,271,1,0.565,1.36,1.293,3.378,0.511,0.879,prophet,0.511
AL,Hurricane,264,1,0.095,0.177,0.209,0.379,0.501,1.157,baseline,0.095
WA,Severe Storm,263,1,0.614,1.178,0.545,1.046,0.574,1.29,negbin,0.545
TN,Flood,263,1,0.566,1.844,4.717,15.781,0.556,0.835,prophet,0.556
PA,Severe Storm,219,1,0.0,0.0,0.04,0.066,0.299,0.851,baseline,0.0
NY,Flood,219,1,0.333,0.567,0.686,1.259,0.259,0.357,prophet,0.259
