state,disaster_type,total_historical,mae,rmse,success
KY,Severe Storm,1355,11.068,26.139,True
MO,Severe Storm,1342,5.118,13.596,True
KS,Severe Storm,1024,5.623,9.37,True
OK,Severe Storm,888,1.825,2.776,True
TN,Severe Storm,875,2.864,7.236,True
FL,Hurricane,856,4.885,6.945,True
LA,Hurricane,803,2.437,4.494,True
TX,Severe Storm,756,0.304,0.714,True
NE,Severe Storm,750,2.854,4.853,True
IA,Severe Storm,743,2.015,4.184,True
IA,Flood,722,0.964,1.229,True
MS,Severe Storm,693,2.81,5.434,True
IN,Severe Storm,667,0.886,2.012,True
MN,Flood,665,1.547,2.484,True
AR,Severe Storm,660,1.185,2.408,True
ND,Flood,613,0.842,1.378,True
TX,Flood,610,3.745,6.889,True
TX,Hurricane,558,1.41,3.746,True
NC,Hurricane,551,1.204,2.583,True
AL,Severe Storm,547,1.036,1.594,True
KY,Flood,490,2.017,2.641,True
OH,Severe Storm,478,0.332,0.847,True
VA,Severe Storm,470,0.669,1.345,True
ND,Severe Storm,466,2.566,5.495,True
SD,Severe Storm,452,0.879,1.208,True
SD,Flood,438,1.327,1.938,True
MN,Severe Storm,433,0.605,1.033,True
WV,Severe Storm,433,0.548,1.007,True
GA,Severe Storm,422,0.413,0.92,True
MS,Hurricane,420,1.069,3.039,True
MO,Flood,415,0.374,0.775,True
CA,Severe Storm,375,1.022,1.426,True
CA,Flood,357,0.891,1.203,True
NY,Severe Storm,349,0.355,1.141,True
NE,Flood,345,0.734,1.161,True
IL,Flood,323,0.473,0.865,True
LA,Flood,310,0.38,0.76,True
PA,Flood,304,0.063,0.175,True
WV,Flood,304,0.364,0.539,True
IL,Severe Storm,297,0.301,0.545,True
AR,Flood,292,3.547,11.788,True
WI,Severe Storm,281,0.388,1.021,True
VA,Flood,278,0.011,0.016,True
FL,Severe Storm,272,0.391,0.792,True
WA,Flood,271,0.511,0.879,True
AL,Hurricane,264,0.501,1.157,True
WA,Severe Storm,263,0.574,1.29,True
TN,Flood,263,0.556,0.835,True
PA,Severe Storm,219,0.299,0.851,True
NY,Flood,219,0.259,0.357,True
