state,disaster_type,total_historical,mae,rmse,trend_slope,forecast_avg_annual
KY,Severe Storm,1355,11.09,26.03,0.0031,50.4
MO,Severe Storm,1342,4.93,14.24,-0.0067,29.6
KS,Severe Storm,1024,5.67,9.33,-0.0001,35.4
OK,Severe Storm,888,1.7,2.72,-0.0058,16.7
TN,Severe Storm,875,3.07,7.63,-0.0039,16.3
FL,Hurricane,856,3.81,7.62,0.0061,40.0
LA,Hurricane,803,2.51,4.97,0.0003,25.8
TX,Severe Storm,756,0.92,1.64,-0.0011,9.3
NE,Severe Storm,750,2.53,4.32,-0.0048,16.8
IA,Severe Storm,743,1.84,3.18,-0.0037,18.4
IA,Flood,722,1.07,1.95,0.0022,11.3
MS,Severe Storm,693,2.78,5.47,0.0002,17.2
IN,Severe Storm,667,0.0,0.0,-0.0156,0.0
MN,Flood,665,1.5,3.32,0.0015,15.7
AR,Severe Storm,660,1.36,2.48,-0.0065,8.9
ND,Flood,613,0.86,1.55,0.0002,8.9
TX,Flood,610,3.82,7.43,0.0066,23.9
TX,Hurricane,558,0.7,1.63,-0.0063,6.3
NC,Hurricane,551,1.16,2.62,-0.0006,11.8
AL,Severe Storm,547,0.85,1.24,-0.0032,8.2
KY,Flood,490,1.95,4.2,0.006,20.9
OH,Severe Storm,478,0.0,0.0,-0.0124,0.0
VA,Severe Storm,470,0.0,0.0,-0.0099,0.0
ND,Severe Storm,466,2.37,5.65,-0.0029,6.8
SD,Severe Storm,452,0.85,1.08,-0.0017,8.5
SD,Flood,438,1.21,3.01,0.0021,12.8
MN,Severe Storm,433,0.52,0.8,-0.0018,5.1
WV,Severe Storm,433,0.17,0.23,-0.0075,0.7
GA,Severe Storm,422,0.15,0.24,-0.0044,0.9
MS,Hurricane,420,0.68,1.66,-0.0034,6.5
MO,Flood,415,0.85,1.58,0.0017,9.0
CA,Severe Storm,375,1.03,2.0,0.0018,10.8
CA,Flood,357,1.03,2.15,0.0032,11.0
NY,Severe Storm,349,0.0,0.0,-0.0077,0.0
NE,Flood,345,0.81,2.5,0.0018,8.6
IL,Flood,323,0.48,1.13,0.0008,5.0
LA,Flood,310,0.68,1.21,0.0015,7.3
PA,Flood,304,0.12,0.36,-0.0001,1.2
WV,Flood,304,0.35,0.7,0.0004,4.8
IL,Severe Storm,297,0.24,0.36,-0.0018,2.3
AR,Flood,292,3.59,11.85,0.0029,7.9
WI,Severe Storm,281,0.0,0.0,-0.0047,0.0
VA,Flood,278,0.01,0.04,0.0,0.1
FL,Severe Storm,272,0.17,0.26,-0.0027,1.4
WA,Flood,271,0.56,1.36,0.0014,6.0
AL,Hurricane,264,0.1,0.18,-0.0036,0.5
WA,Severe Storm,263,0.61,1.18,-0.0007,6.2
TN,Flood,263,0.57,1.84,0.0018,6.1
PA,Severe Storm,219,0.0,0.0,-0.0049,0.0
NY,Flood,219,0.33,0.57,0.0006,3.5
