state,incidentType,total_disasters,avg_monthly,max_monthly,months_with_data,state_rank
AK,Severe Storm,72,3.43,14,21,1
AK,Flood,61,4.07,10,15,2
AL,Severe Storm,547,12.72,67,43,1
AL,Hurricane,264,16.5,67,16,2
AR,Severe Storm,660,20.62,60,32,1
AR,Flood,292,18.25,43,16,2
AZ,Flood,80,5.71,13,14,1
CA,Severe Storm,375,28.85,57,13,1
CA,Flood,357,11.16,44,32,2
CA,Fire,113,4.71,20,24,3
FL,Hurricane,856,29.52,165,29,1
FL,Severe Storm,272,12.36,55,22,2
FM,Typhoon,20,1.54,3,13,1
GA,Severe Storm,422,24.82,119,17,1
IA,Severe Storm,743,24.77,85,30,1
IA,Flood,722,30.08,99,24,2
ID,Flood,85,7.08,27,12,1
IL,Flood,323,19.0,52,17,1
IL,Severe Storm,297,12.38,33,24,2
IN,Severe Storm,667,26.68,87,25,1
KS,Severe Storm,1024,23.27,70,44,1
KY,Severe Storm,1355,35.66,101,38,1
KY,Flood,490,22.27,67,22,2
LA,Hurricane,803,40.15,99,20,1
LA,Flood,310,13.48,37,23,2
LA,Severe Storm,163,10.87,38,15,3
ME,Severe Storm,157,6.83,16,23,1
ME,Flood,106,7.07,15,15,2
MI,Flood,156,12.0,30,13,1
MN,Flood,665,23.75,70,28,1
MN,Severe Storm,433,18.04,57,24,2
MO,Severe Storm,1342,33.55,94,40,1
MO,Flood,415,23.06,105,18,2
MP,Typhoon,38,2.38,4,16,1
MS,Severe Storm,693,17.32,52,40,1
MS,Hurricane,420,30.0,82,14,2
MT,Flood,136,9.71,16,14,1
MT,Severe Storm,134,10.31,49,13,2
NC,Hurricane,551,30.61,66,18,1
ND,Flood,613,21.89,53,28,1
ND,Severe Storm,466,18.64,53,25,2
NE,Severe Storm,750,20.83,62,36,1
NE,Flood,345,26.54,84,13,2
NH,Severe Storm,100,4.17,10,24,1
NJ,Severe Storm,116,6.11,17,19,1
NM,Flood,86,4.78,23,18,1
NY,Severe Storm,349,12.46,62,28,1
NY,Flood,219,9.52,41,23,2
OH,Severe Storm,478,20.78,88,23,1
OH,Flood,157,10.47,28,15,2
OK,Severe Storm,888,21.14,63,42,1
OK,Flood,211,11.72,41,18,2
OK,Tornado,141,11.75,29,12,3
OR,Severe Storm,167,9.82,30,17,1
OR,Flood,122,10.17,36,12,2
PA,Flood,304,13.82,67,22,1
PA,Severe Storm,219,15.64,67,14,2
SD,Severe Storm,452,15.59,67,29,1
SD,Flood,438,25.76,66,17,2
TN,Severe Storm,875,21.34,79,41,1
TN,Flood,263,15.47,59,17,2
TX,Severe Storm,756,39.79,254,19,1
TX,Flood,610,15.25,83,40,2
TX,Hurricane,558,39.86,254,14,3
VA,Severe Storm,470,23.5,109,20,1
VA,Flood,278,23.17,106,12,2
VT,Severe Storm,173,6.41,11,27,1
VT,Flood,113,5.65,14,20,2
WA,Flood,271,10.04,24,27,1
WA,Severe Storm,263,13.84,38,19,2
WI,Severe Storm,281,14.79,47,19,1
WI,Flood,204,10.74,34,19,2
WV,Severe Storm,433,16.04,49,27,1
WV,Flood,304,11.26,36,27,2
